"gene.id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","design","comparison","contrast","direction","human_symbol","mouse_entrez","human_entrez","mouse_ensembl","human_ensembl","ortholog_support_n","ortholog_support_sources"
"Thnsl2",184.672993322738,-0.562893148299812,0.157591435180161,-3.57185114569395,0.000354466874537487,0.0032891228590804,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","THNSL2",232078,55258,"ENSMUSG00000054474","ENSG00000144115",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-18",619916,28468,"ENSMUSG00000096074","ENSG00000211945",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-24",619916,28467,"ENSMUSG00000096074","ENSG00000211950",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-3",619916,28473,"ENSMUSG00000096074","ENSG00000211935",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-45",619916,28466,"ENSMUSG00000096074","ENSG00000211961",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-58",619916,28464,"ENSMUSG00000096074","ENSG00000211968",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-69",619916,28461,"ENSMUSG00000096074","ENSG00000211973",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-69-2",619916,28458,"ENSMUSG00000096074","ENSG00000281990",3,"Ensembl|OMA|Panther"
"Ighv1-72",12.9957743071953,-6.38655659595031,1.78913737241457,-3.56962897003888,0.000357487188552073,0.00330852363855588,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","IGHV1-69D",619916,102723169,"ENSMUSG00000096074","ENSG00000280411",3,"Ensembl|OMA|Panther"
"Tmem100",220.527432367841,-0.854367940538585,0.239393478234619,-3.56888561392326,0.000358502895970403,0.00331216836730466,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TMEM100",67888,55273,"ENSMUSG00000069763","ENSG00000166292",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ncoa4",2421.16281728828,-0.217381831520507,0.0609133059328121,-3.56870848153079,0.000358745324075063,0.00331216836730466,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NCOA4",27057,8031,"ENSMUSG00000056234","ENSG00000266412",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Asb5",5614.91167428182,-0.545913996206878,0.153030405979485,-3.56735638720101,0.000360600893913298,0.00332388682545198,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ASB5",76294,140458,"ENSMUSG00000031519","ENSG00000164122",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Skiv2l2",1836.10222901892,-0.283498887401738,0.0795266517465221,-3.56482866027534,0.000364093958836492,0.00335107176702191,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Pmpcb",1785.96141736214,-0.274960834993063,0.0771396437508191,-3.56445559797057,0.000364612164751439,0.00335375039764828,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PMPCB",73078,9512,"ENSMUSG00000029017","ENSG00000105819",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ehf",13.3933211777154,-3.84743093499557,1.07948556465272,-3.56413375127745,0.000365059783130491,0.00335577682338446,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","EHF",13661,26298,"ENSMUSG00000012350","ENSG00000135373",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Txndc9",945.6498733326,-0.374942285155132,0.105207145118699,-3.56384810872024,0.000365457479777315,0.0033573421119804,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TXNDC9",98258,10190,"ENSMUSG00000058407","ENSG00000115514",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cse1l",2857.83804485427,-0.324148674729994,0.0910401086009729,-3.56050404279208,0.000370143612139044,0.00339616541081958,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CSE1L",110750,1434,"ENSMUSG00000002718","ENSG00000124207",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"AI607873",176.641695136118,-0.684930563275441,0.192506090440882,-3.55796827885702,0.000373734433525961,0.0034227304231661,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Gtf2b",349.771378237372,-0.470620681982758,0.132313672741797,-3.55685600913783,0.000375319738284696,0.00343403365454016,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","GTF2B",229906,2959,"ENSMUSG00000028271","ENSG00000137947",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Itgb7",38.7408195691933,-1.44971967781385,0.407593741607976,-3.55677609792202,0.000375433876476855,0.00343403365454016,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ITGB7",16421,3695,"ENSMUSG00000001281","ENSG00000139626",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gcc2",980.389902507306,-0.307518193114621,0.08651089948718,-3.55467571066223,0.000378445545598356,0.00345729677578499,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","GCC2",70297,9648,"ENSMUSG00000038039","ENSG00000135968",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Asgr1",29.3480205648605,-7.14224315486808,2.00937274861151,-3.55446402853995,0.000378750318280817,0.00345794121755083,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ASGR1",11889,432,"ENSMUSG00000020884","ENSG00000141505",10,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ms4a4a",19.0866145163547,-1.8391571724914,0.51747529897108,-3.55409654557093,0.000379279952590733,0.00345898598854866,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MS4A4A",666907,51338,"ENSMUSG00000101389","ENSG00000110079",9,"EggNOG|Ensembl|HGNC|HomoloGene|NCBI|OMA|OrthoDB|OrthoMCL|Panther"
"Hc",69.7522366219256,-9.65084595898717,2.71544297611652,-3.55405951952241,0.000379333354701638,0.00345898598854866,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","C5",15139,727,"ENSMUSG00000026874","ENSG00000106804",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tmem168",584.2782230336,-0.293299630548297,0.0825874585081891,-3.55138220555867,0.000383213484760593,0.00349221029353125,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TMEM168",101118,64418,"ENSMUSG00000029569","ENSG00000146802",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Fez1",85.2489394065386,-0.881515256655236,0.248324049186256,-3.54985858012509,0.000385438147019978,0.0035081525058298,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","FEZ1",235180,9638,"ENSMUSG00000032118","ENSG00000149557",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Gm13212",22.4829103010135,-1.45001742775752,0.408753532850986,-3.54741258783477,0.000389034824322101,0.00353435145321057,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Ispd",114.369633942092,-0.449416002476176,0.126799136242533,-3.54431438410244,0.00039363556416901,0.00356525868640518,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Pdia3",1643.34092460491,-0.340576389757615,0.0960910683357236,-3.54430849460126,0.000393644358114235,0.00356525868640518,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PDIA3",14827,2923,"ENSMUSG00000027248","ENSG00000167004",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tubb2b",39.9452739937644,-1.15990267619416,0.327631445561329,-3.54026663773651,0.000399722964108701,0.00361244319439188,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TUBB2B",73710,347733,"ENSMUSG00000045136","ENSG00000137285",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cd19",22.8964078303297,-2.78540301571898,0.786793867737678,-3.54019410919919,0.00039983283747452,0.00361244319439188,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CD19",12478,930,"ENSMUSG00000030724","ENSG00000177455",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ces2e",30.8594554788369,-4.73694390784897,1.33852543861046,-3.53892706945222,0.000401756831768475,0.00362317416456811,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CES2",234673,8824,"ENSMUSG00000031886","ENSG00000172831",7,"Ensembl|HGNC|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Bnip3",6159.28831525102,-0.375801543616731,0.106198341124891,-3.5386762131697,0.000402138780207773,0.00362440464725724,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","BNIP3",12176,664,"ENSMUSG00000078566","ENSG00000176171",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Abhd6",171.006063010925,-0.675849040001107,0.191011676412857,-3.53826034456822,0.000402772720312302,0.00362790339839567,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ABHD6",66082,57406,"ENSMUSG00000025277","ENSG00000163686",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tmprss6",16.0761772667015,-3.70071601374766,1.04675430251694,-3.53541992122623,0.00040712762113859,0.00366245846519862,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TMPRSS6",71753,164656,"ENSMUSG00000016942","ENSG00000187045",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Plrg1",612.823843229674,-0.316596395608393,0.0895576545562271,-3.53511262858747,0.000407601385783468,0.00366245846519862,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PLRG1",53317,5356,"ENSMUSG00000027998","ENSG00000171566",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"C130026I21Rik",36.5437157562236,-3.82058668595517,1.08083380745329,-3.53485120432846,0.000408004838777485,0.00366385367084672,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Ly6a",1156.33323395677,-0.674140156286498,0.190979219168217,-3.52991366926004,0.00041569528630741,0.00372625947880026,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Rbl1",102.095693978906,-0.519938697049594,0.147295449365063,-3.5299033289274,0.000415711532993567,0.00372625947880026,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RBL1",19650,5933,"ENSMUSG00000027641","ENSG00000080839",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Aim2",21.0010661893648,-1.33030343537152,0.376907424391879,-3.52952303212892,0.000416309465823733,0.0037293547596819,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","AIM2",383619,9447,"ENSMUSG00000037860","ENSG00000163568",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Naa38",292.45532996635,-0.493434121889091,0.139819221041485,-3.52908647476077,0.000416996846182099,0.003732769959033,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NAA38",78304,84316,"ENSMUSG00000059278","ENSG00000183011",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mettl11b",671.316314419205,-0.575437834617701,0.163063111037008,-3.52892711882028,0.000417248023659921,0.003732769959033,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NTMT2",240879,149281,"ENSMUSG00000040113","ENSG00000203740",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Pcnxl4",191.307646620163,-0.390781872171611,0.110823265910854,-3.52617177412869,0.000421613413725158,0.00376089355095136,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Otc",25.4036100866528,-7.77743494706753,2.20756145376981,-3.52308876103365,0.000426548482382555,0.00380032302076866,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","OTC",18416,5009,"ENSMUSG00000031173","ENSG00000036473",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Wdr47",214.645972164413,-0.496937758910147,0.141215863772104,-3.51899386964137,0.000433186717365696,0.00385249127016251,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","WDR47",99512,22911,"ENSMUSG00000040389","ENSG00000085433",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Ppp6c",2077.91337575515,-0.248911794203952,0.0707718578427588,-3.51710131387232,0.000436287220406676,0.00387355880822594,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PPP6C",67857,5537,"ENSMUSG00000026753","ENSG00000119414",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Snai3",91.5588853913031,-1.06989327699318,0.304200380132104,-3.51706752150855,0.000436342768954801,0.00387355880822594,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SNAI3",30927,333929,"ENSMUSG00000006587","ENSG00000185669",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Dynlt1b",371.838620421772,-0.502041520216499,0.14280377683508,-3.51560393809677,0.000438754981219433,0.00389029416681231,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","DYNLT1",21648,6993,"ENSMUSG00000096255","ENSG00000146425",10,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Tmod3",855.43572717681,-0.511857104805285,0.145602964762009,-3.5154305109235,0.000439041639550747,0.00389049923450641,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TMOD3",50875,29766,"ENSMUSG00000058587","ENSG00000138594",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Slc25a24",185.259072441536,-0.836916520297994,0.238218619122112,-3.51322882897321,0.000442696037264554,0.00391583079576789,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SLC25A24",229731,29957,"ENSMUSG00000040322","ENSG00000085491",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"N4bp2l2",679.711163627298,-0.309677052771581,0.0881916165167227,-3.51141145839935,0.000445733916971841,0.00393699654183483,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","N4BP2L2",381695,10443,"ENSMUSG00000029655","ENSG00000244754",8,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OrthoDB|Panther|PhylomeDB"
"Ptgfr",51.4119669543252,-0.87637564583787,0.249593938675986,-3.51120564259996,0.000446079178322708,0.00393699654183483,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PTGFR",19220,5737,"ENSMUSG00000028036","ENSG00000122420",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Pld3",330.458989427908,-0.396701483183049,0.113039943446001,-3.50939208822722,0.000449132271023664,0.00395550373519308,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PLD3",18807,23646,"ENSMUSG00000003363","ENSG00000105223",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Apoc4",24.4053148567426,-6.87529189179545,1.95917550477265,-3.50927820149185,0.000449324647017462,0.00395550373519308,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","APOC4",11425,346,"ENSMUSG00000074336","ENSG00000267467",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cct6a",4369.31458200171,-0.230578167809701,0.0657422652606099,-3.50730488059184,0.000452670189481813,0.00398258045728248,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CCT6A",12466,908,"ENSMUSG00000029447","ENSG00000146731",9,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|Panther|PhylomeDB"
"Lrrc48",46.1410523228242,-0.728385467239623,0.207730755356455,-3.50639204093661,0.000454225657096628,0.00399388527439995,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Npm1",3283.59454324939,-0.427498483860212,0.1219567166105,-3.50532956069601,0.000456042391316632,0.00400747251369491,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NPM1",18148,4869,"ENSMUSG00000057113","ENSG00000181163",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Sub1",1633.04729200021,-0.428585817240539,0.122398700187066,-3.50155529908011,0.000462550969018425,0.00405742124516875,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SUB1",20024,10923,"ENSMUSG00000022205","ENSG00000113387",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ly75",13.8104705820946,-1.86104406144988,0.531648735156094,-3.50051441560088,0.000464361122702788,0.00406915824484957,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LY75",17076,4065,"ENSMUSG00000026980","ENSG00000054219",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Grpel2",608.152616321527,-0.247083339098486,0.070612698571535,-3.49913463296089,0.000466770829183311,0.00408715169112291,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","GRPEL2",17714,134266,"ENSMUSG00000024580","ENSG00000164284",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Limd2",46.8212630069648,-0.743380255522638,0.212493983756075,-3.49835907060773,0.000468130418316098,0.00409662677273299,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","LIMD2",67803,80774,"ENSMUSG00000040699","ENSG00000136490",10,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB"
"Rpl34",1546.67678063861,-0.531290292696498,0.151895573387915,-3.49773387628403,0.000469229095377427,0.00410207209375225,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RPL34",68436,6164,"ENSMUSG00000062006","ENSG00000109475",10,"Ensembl|HGNC|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Scnn1a",8.4825359735964,-2.37247320697104,0.67832801265829,-3.49753093296794,0.000469586252011197,0.00410207209375225,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","SCNN1A",20276,6337,"ENSMUSG00000030340","ENSG00000111319",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Gm29506",4.05474604153759,-3.44008931514742,0.983913222130117,-3.4963340646036,0.000471697764679873,0.0041132156526692,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated",NA,NA,NA,NA,NA,NA,NA
"Cab39",6964.91520802875,-0.376013671821374,0.1075871710066,-3.49496755331831,0.000474119388935618,0.00412701918564654,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CAB39",12283,51719,"ENSMUSG00000036707","ENSG00000135932",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Proz",45.0806952105067,-2.01616498177302,0.577097388842663,-3.49363040060938,0.000476500208064977,0.00413555118851455,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","PROZ",66901,8858,"ENSMUSG00000031445","ENSG00000126231",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Mgam",41.1586479982158,-2.56244930574633,0.733682882896681,-3.49258428332064,0.000478370604631343,0.00414934502712839,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","MGAM",232714,8972,"ENSMUSG00000068587","ENSG00000257335",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Itpr1",1296.53993101133,-0.377377717377529,0.108118120943769,-3.4904206074188,0.000482260880326301,0.00417817921141854,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","ITPR1",16438,3708,"ENSMUSG00000030102","ENSG00000150995",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Rgs1",6.39124352472526,-2.34164787798238,0.671107865352108,-3.48922728949659,0.000484419063169488,0.00419437410342273,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RGS1",50778,5996,"ENSMUSG00000026358","ENSG00000090104",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Csf2rb2",77.8996237145279,-0.754638779257118,0.216286312752245,-3.48907320881443,0.000484698382472341,0.00419437410342273,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CSF2RB",12984,1439,"ENSMUSG00000071714","ENSG00000100368",11,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ear2",19.3972372889851,-1.25689792273714,0.360308886089446,-3.48839002106964,0.000485938683889503,0.00420040537172552,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RNASE2",13587,6036,"ENSMUSG00000072596","ENSG00000169385",7,"Ensembl|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Ear2",19.3972372889851,-1.25689792273714,0.360308886089446,-3.48839002106964,0.000485938683889503,0.00420040537172552,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","RNASE3",13587,6037,"ENSMUSG00000072596","ENSG00000169397",7,"Ensembl|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Tsga10",293.205893441161,-0.438018751293914,0.125569330235833,-3.48826222510917,0.000486171020980741,0.00420040537172552,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","TSGA10",211484,80705,"ENSMUSG00000060771","ENSG00000135951",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Hbp1",3322.16751824336,-0.299103700380765,0.0857729976411586,-3.48715456619693,0.000488189124604815,0.00420994046133468,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","HBP1",73389,26959,"ENSMUSG00000002996","ENSG00000105856",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Napsa",17.6932620264695,-2.09337388845277,0.600314152352332,-3.48713066358652,0.000488232760050457,0.00420994046133468,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","NAPSA",16541,9476,"ENSMUSG00000002204","ENSG00000131400",12,"EggNOG|Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Kpna2",598.37573127146,-0.423890301453015,0.121561465226685,-3.4870450159724,0.000488389144046663,0.00420994046133468,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","KPNA2",16647,3838,"ENSMUSG00000018362","ENSG00000182481",11,"Ensembl|HGNC|HomoloGene|Inparanoid|NCBI|OMA|OrthoDB|OrthoMCL|Panther|PhylomeDB|Treefam"
"Cyp2a4",67.5042331727057,-10.0497857376536,2.88408651843773,-3.48456458341529,0.000492938484182216,0.00424082216898721,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CYP2A6",13086,1548,"ENSMUSG00000074254","ENSG00000255974",7,"Ensembl|HomoloGene|OMA|OrthoDB|OrthoMCL|Panther|Treefam"
"Cyp2a4",67.5042331727057,-10.0497857376536,2.88408651843773,-3.48456458341529,0.000492938484182216,0.00424082216898721,"age.grp","young CD vs old CD","young CD vs old CD","Downregulated","CYP2A7",13086,1549,"ENSMUSG00000074254","ENSG00000198077",7,"Ensembl|HomoloGene|Inparanoid|OrthoDB|OrthoMCL|Panther|Treefam"
